Country Name,Country Code,"2017 [YR2017] - Life expectancy at birth, total (years) [SP.DYN.LE00.IN]",2017 [YR2017] - GDP per capita (current US$) [NY.GDP.PCAP.CD],2017 [YR2017] - Adjusted savings: education expenditure (% of GNI) [NY.ADJ.AEDU.GN.ZS]
Nicaragua,NIC,74.068,2168.19123997963,4.1
Niger,NER,61.599,375.869489673522,5.39089512964386
Nigeria,NGA,53.95,1968.55958830544,0.85
North Macedonia,MKD,75.589,5417.64201944282,3.26865220429847
Northern Mariana Islands,MNP,..,28163.7848732364,..
Norway,NOR,82.509756097561,75704.2486981247,6.3616915434711
Oman,OMN,77.393,15170.3517435517,6.49726909438033
Pakistan,PAK,66.947,1466.84309577722,2.02734916362365
Palau,PLW,..,16274.9045372866,..
Panama,PAN,78.149,15166.124432066,2.8
Papua New Guinea,PNG,64.01,2640.153572462,6.9
Paraguay,PRY,73.992,5680.58076826353,4.42460361170874
Peru,PER,76.286,6700.81138040492,3.34132723170737
Philippines,PHL,70.952,2981.93415144162,1.84
Poland,POL,77.8512195121951,13861.0515579074,4.61441349781309
Portugal,PRT,81.1243902439025,21291.4309907117,4.77075729265274
Puerto Rico,PRI,79.6345365853659,31353.4341794183,8.58741824261882
Qatar,QAT,79.981,61264.3964777979,2.214611669941
Romania,ROU,75.309756097561,10792.9562796666,2.81
Russian Federation,RUS,72.1190243902439,10750.5871197198,3.62460988468421
Rwanda,RWA,68.341,762.499163641385,3.15663781247893
Samoa,WSM,73.046,4307.80546397731,4.24
San Marino,SMR,..,48494.5514112427,3.55096
Sao Tome and Principe,STP,69.933,1811.00963265499,3.48
Saudi Arabia,SAU,74.874,20803.7425657324,7.1861867
Senegal,SEN,67.38,1367.21894802796,6.46494720796212
Serbia,SRB,76.0878048780488,6284.192671588,3.97148682259795
Seychelles,SYC,74.3,15683.6564988559,4.53410999094786
Sierra Leone,SLE,53.895,499.38070781976,2.71351434268742
Singapore,SGP,82.8951219512195,60297.7937806208,2.76
Sint Maarten (Dutch part),SXM,..,..,..
Slovak Republic,SVK,77.1658536585366,17579.2593991421,4.05253329240585
Slovenia,SVN,81.1756097560976,23449.5745165237,4.652208589303
Solomon Islands,SLB,72.645,2077.12603765032,9.94
Somalia,SOM,56.709,309.066058977427,0.991144636141377
South Africa,ZAF,63.538,6127.46229651543,6.0110723914149
South Sudan,SSD,57.365,..,1.7627250334384
Spain,ESP,83.3292682926829,28208.2610532181,4.048234018203
Sri Lanka,LKA,76.648,4104.63098320435,2.30772096942907
St. Kitts and Nevis,KNA,..,19060.5707200677,3.31
St. Lucia,LCA,75.907,10003.2598650984,4.18006112860583
St. Martin (French part),MAF,79.7219512195122,..,..
St. Vincent and the Grenadines,VCT,72.3,7149.63086622199,5.17857246122534
Sudan,SDN,64.881,3015.02442975186,2.18
Suriname,SUR,71.463,5379.11941495353,3.4447781
Sweden,SWE,82.3073170731707,53253.4766411192,7.06787894300597
Switzerland,CHE,83.6024390243903,80333.4449447719,4.4764683679
Syrian Arab Republic,SYR,70.967,..,2.5960693
Tajikistan,TJK,70.647,806.041573098044,3.76800831431943
Tanzania,TZA,64.479,1004.84112066441,3.73
Thailand,THA,76.683,6578.18886493522,4.18853837255481
Timor-Leste,TLS,69.007,2000.60119103569,3.16804492119075
Togo,TGO,60.489,619.066370987019,4.8928383555916
Tonga,TON,70.701,4217.47650679527,2.93
Trinidad and Tobago,TTO,73.245,16076.0820382225,2.87
Tunisia,TUN,76.31,3494.31886448228,5.9
Turkey,TUR,77.161,10499.7455731688,3.79819811778181
Turkmenistan,TKM,67.956,6587.09031628698,2.32
Turks and Caicos Islands,TCA,..,25933.6074363465,..
Tuvalu,TUV,..,3572.60836706326,..
Uganda,UGA,62.516,631.522719792278,2.01285452729716
Ukraine,UKR,71.7809756097561,2640.67567655839,4.6391660925235
United Arab Emirates,ARE,77.647,40325.3820005643,..
United Kingdom,GBR,81.1560975609756,39932.0602923845,5.55070464321649
United States,USA,78.5390243902439,59927.9298339535,4.40382903418674
Uruguay,URY,77.632,16437.2448692778,4.29987527352317
Uzbekistan,UZB,71.388,1826.56703999223,9.3747642
Vanuatu,VUT,70.172,2976.1071160324,4.68811283400111
"Venezuela, RB",VEN,72.246,..,6.54
Vietnam,VNM,75.241,2365.62166567374,4.60305015866341
Virgin Islands (U.S.),VIR,79.419512195122,35938.0243875154,9.3561772
West Bank and Gaza,PSE,73.74,3254.48588658763,..
"Yemen, Rep.",YEM,66.086,963.494720967854,3.6
Zambia,ZMB,63.043,1534.86537052245,1.06
Zimbabwe,ZWE,60.812,1602.40350699048,1.91
Arab World,ARB,71.6225263276687,6285.21522795013,4.95093785977335
Caribbean small states,CSS,73.5174924941115,9442.91279388821,3.87287635564081
Central Europe and the Baltics,CEB,77.0339659062949,14167.6491028513,4.44876783247679
Early-demographic dividend,EAR,70.2552611004123,3545.02222103627,..
East Asia & Pacific,EAS,75.8657476184635,10332.8322621933,2.66408252585664
East Asia & Pacific (excluding high income),EAP,74.9949516020133,7081.77637859757,2.07546880725027
East Asia & Pacific (IDA & IBRD countries),TEA,75.0333588983101,7156.32031869716,2.07546880725027
Euro area,EMU,81.9507304209619,37047.7756101779,4.55870523269761
Europe & Central Asia,ECS,77.7446903650865,23517.2053537836,4.7049807253847
Europe & Central Asia (excluding high income),ECA,73.3991723323695,7979.76034048573,3.74205684199947
Europe & Central Asia (IDA & IBRD countries),TEC,73.808354320107,8516.29187660812,3.87009721495964
European Union,EUU,80.9911558127395,33873.2850035441,4.82250729528267
Fragile and conflict affected situations,FCS,63.1510954554411,1646.06339262312,3.27036576589361
Heavily indebted poor countries (HIPC),HPC,62.7486826008412,991.985291751723,3.50446800923184
High income,HIC,80.6937295003259,42350.0563146253,4.49807734279624
IBRD only,IBD,73.1955086229713,6052.03861067606,..
IDA & IBRD total,IBT,70.8585577824811,4859.04784109609,..
IDA blend,IDB,61.9968846385796,1733.46049894139,2.5130434777642
IDA only,IDX,64.973294676486,1148.30957763009,2.83366600353485
IDA total,IDA,63.9647120093937,1345.83346211323,2.68522682987121
Late-demographic dividend,LTE,75.9954014946273,8944.75213695805,2.86565459263143
Latin America & Caribbean,LCN,75.2802157502625,9397.62070912358,5.25153243800361
Latin America & Caribbean (excluding high income),LAC,75.0834544384024,8959.80202540338,5.29616865477667
Latin America & the Caribbean (IDA & IBRD countries),TLA,75.192465413112,9253.66648399388,5.20921597116776
Least developed countries: UN classification,LDC,64.7077302181912,1093.81132310222,2.55981140048631
Low & middle income,LMY,70.7965876778099,4743.18561319538,..
Low income,LIC,63.3926101593465,767.892904146689,3.13642687298284
Lower middle income,LMC,68.3230243560808,2187.49882855239,3.1128404303511
Middle East & North Africa,MEA,73.9010335056528,7422.02790339989,4.90902407125557
Middle East & North Africa (excluding high income),MNA,73.3942702537245,3817.68617419562,4.08538195466906
Middle East & North Africa (IDA & IBRD countries),TMN,73.3901310655417,3823.83320020438,4.08538195466906
Middle income,MIC,71.7024338527781,5229.03176445357,..
North America,NAC,78.9142768005615,58434.030875745,4.44376395113839
Not classified,INX,..,..,..
OECD members,OED,80.1384657252691,38411.3725417333,4.4951292386352
Other small states,OSS,68.2054875092564,13422.2439405735,3.78267651367092
Pacific island small states,PSS,69.7742837809553,4080.52619674354,5.77329141873805
Post-demographic dividend,PST,80.6136376062954,42725.2276992152,4.45555759921402
Pre-demographic dividend,PRE,60.427466911492,1458.12634350036,2.7880897043725
Small states,SST,69.261389799666,12125.1629561174,3.83530944453442
South Asia,SAS,69.1713119009688,1867.27224804395,2.81884143695638
South Asia (IDA & IBRD),TSA,69.1713119009688,1867.27224804395,2.81884143695638
Sub-Saharan Africa,SSF,60.8800023700024,1599.33618746124,..
Sub-Saharan Africa (excluding high income),SSA,60.8787774728612,1598.05047658923,..
Sub-Saharan Africa (IDA & IBRD countries),TSS,60.8800023700024,1599.33618746124,..
Upper middle income,UMC,75.5225332493901,8663.27388957464,..
World,WLD,72.3830086612671,10769.6771083675,..
,,,,
,,,,
,,,,
Data from database: World Development Indicators,,,,
Last Updated: 10/28/2019,,,,
